paper,author,affiliations
Identification of 4876 Bent-Tail Radio Galaxies in the FIRST Survey Using Deep Learning Combined with Visual Inspection,Xiaohui Sun,"School of Physics and Astronomy, Yunnan University, Kunming 650091, People's Republic of China"
Identification of 4876 Bent-Tail Radio Galaxies in the FIRST Survey Using Deep Learning Combined with Visual Inspection,Sheng-Li Qin,"School of Physics and Astronomy, Yunnan University, Kunming 650091, People's Republic of China"

REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,R. Fisher,"Jodrell Bank Centre for Astrophysics, University of Manchester, Oxford Road, Manchester M13 9PL, UK"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,R. A. A. Bowler,"Jodrell Bank Centre for Astrophysics, University of Manchester, Oxford Road, Manchester M13 9PL, UK"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,M. Stefanon,"Departament d’Astronomia i Astrofìsica, Universitat de València, C. Dr. Moliner 50, E-46100 Burjassot, València, Spain; Unidad Asociada CSIC ”Grupo de Astrofísica Extragaláctica y Cosmología” (Instituto de Física de Cantabria - Universitat de València), Spain"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,L. E. Rowland,"Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,H. S. B. Algera,"Institute of Astronomy and Astrophysics, Academia Sinica, 11F of Astronomy-Mathematics Building, No.1, Sec. 4, Roosevelt Rd, Taipei 106216, Taiwan, R.O.C.; Hiroshima Astrophysical Science Center, Hiroshima University, 1-3-1 Kagamiyama, Higashi-Hiroshima, Hiroshima 739-8526, Japan; National Astronomical Observatory of Japan, 2-21-1, Osawa, Mitaka, Tokyo, Japan"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,M. Aravena,"Instituto de Estudios Astrof'{\i}sicos, Facultad de Ingenier'{\i}a y Ciencias, Universidad Diego Portales, Av. Ej'ercito 441, Santiago, Chile"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,R. Bouwens,"Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,P. Dayal,"Kapteyn Astronomical Institute, University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,A. Ferrara,"Scuola Normale Superiore, Piazza dei Cavalieri 7, 56126 Pisa, Italy"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,Y. Fudamoto,"Center for Frontier Science, Chiba University, 1-33 Yayoi-cho, Inage-ku, Chiba 263-8522, Japan; Steward Observatory, University of Arizona, 933 N Cherry Avenue, Tucson, AZ 85721, USA"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,J. A. Hodge,"Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,H. Inami,"Hiroshima Astrophysical Science Center, Hiroshima University, 1-3-1 Kagamiyama, Higashi-Hiroshima, Hiroshima 739-8526, Japan"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,K. Ormerod,"Astrophysics Research Institute, Liverpool John Moores University, 146 Brownlow Hill, Liverpool L3 5RF, UK"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,A. Pallottini,"Scuola Normale Superiore, Piazza dei Cavalieri 7, 56126 Pisa, Italy"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,S. G. Phillips,"Astrophysics Research Institute, Liverpool John Moores University, 146 Brownlow Hill, Liverpool L3 5RF, UK"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,N. S. Sartorio,"Sterrenkundig Observatorium, Krijgslaan 281 / S9, 9000 Gent, Belgium"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,R. Smit,"Astrophysics Research Institute, Liverpool John Moores University, 146 Brownlow Hill, Liverpool L3 5RF, UK"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,L. Sommovigo,"Center for Computational Astrophysics, Flatiron Institute, 162 5th Avenue, New York, NY 10010, USA"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,D. P. Stark,"Steward Observatory, University of Arizona, 933 N Cherry Avenue, Tucson, AZ 85721, USA"
REBELS-IFU: Dust attenuation curves of 12 massive galaxies at 
𝑧
≃
7
z≃7
,P. P. van der Werf,"Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands"

A highly magnetized long-period radio transient exhibiting unusual emission features,Yunpeng Men,"Max-Planck-Institut für Radioastronomie, Auf dem Hügel 69, Bonn, D-53121, Germany"
A highly magnetized long-period radio transient exhibiting unusual emission features,Sam McSweeney,"International Centre for Radio Astronomy Research, Curtin University, 1 Turner Ave, Bentley, WA, 6102, Australia"
A highly magnetized long-period radio transient exhibiting unusual emission features,Natasha Hurley-Walker,"International Centre for Radio Astronomy Research, Curtin University, 1 Turner Ave, Bentley, WA, 6102, Australia"
A highly magnetized long-period radio transient exhibiting unusual emission features,Ewan Barr,"Max-Planck-Institut für Radioastronomie, Auf dem Hügel 69, Bonn, D-53121, Germany"
A highly magnetized long-period radio transient exhibiting unusual emission features,Ben Stappers,"Jodrell Bank Centre for Astrophysics, Department of Physics and Astronomy, The University of Manchester, Oxford Road, Manchester, M13 9PL, United Kingdom"

Chern-Simons gravitational term coupled to an isocurvature field,Giorgio Orlando,"Faculty of Physics, Astronomy and Applied Computer Science, Jagiellonian University, 30-348 Krakow, Poland"

The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Maike Clausen,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK; Max Planck Institute of Astronomy, Königstuhl 17, 69117 Heidelberg, Germany"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Ivelina Momcheva,"Max Planck Institute of Astronomy, Königstuhl 17, 69117 Heidelberg,Germany"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Katherine E. Whitaker,"Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA; Cosmic Dawn Center (DAWN), Denmark"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Sam E. Cutler,"Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Rachel S. Bezanson,"Department of Physics and Astronomy and PITT PACC, University of Pittsburgh, Pittsburgh, PA, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,James S. Dunlop,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Norman A. Grogin,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Anton M. Koekemoer,"Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Derek McLeod,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh, EH9 3HJ, UK"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Ross McLure,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh,EH9 3HJ, UK"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Tim B. Miller,"Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), Northwestern University, 1800 Sherman Ave, Evanston, IL 60201, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Erica Nelson,"Department for Astrophysical and Planetary Science, University of Colorado, Boulder, CO 80309, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Arjen van der Wel,"Ghent University, Krijgslaan 281, Building S9, 9000 Ghent, Belgium"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,David Wake,"Department of Physics and Astronomy, University of North Carolina Asheville, 1 University Heights, Asheville, NC 28804, USA"
The Evolution of Half-Mass Radii and Color Gradients for Young and Old Quiescent Galaxies at 
0.5
<
𝑧
<
3
0.5<z<3
 with JWST/PRIMER,Stijn Wuyts,"Department of Physics, University of Bath, Claverton Down, Bath BA2 7AY, UK"

Influence of photometric galaxies redshift distribution in BAO estimation,Paula S. Ferreira,"Instituto de Física, Universidade Federal do Rio de Janeiro, Av. Athos da Silveira Ramos, 149 - Cidade Universitária, Rio de Janeiro, Brasil"
Influence of photometric galaxies redshift distribution in BAO estimation,Ribamar R. R. Reis,"Instituto de Física, Universidade Federal do Rio de Janeiro, Av. Athos da Silveira Ramos, 149 - Cidade Universitária, Rio de Janeiro, Brasil; Observatório do Valongo, Universidade Federal do Rio de Janeiro, Ladeira Pedro Antônio, 43, Centro, Rio de Janeiro, Brasil"

Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,A.-M. Lagrange,"LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France; Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,F. Kiefer,"LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,P. Rubini,"Pixyl, 5 Avenue du Grand Sablon, 38700 La Tronche, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,V. Squicciarini,"LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France; INAF -- Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, I-35122, Padova, Italy"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,A. Chomez,"LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France; Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,J. Milli,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,A. Zurlo,"Instituto de Estudios Astrof'isicos, Facultad de Ingenier'ia y Ciencias, Universidad Diego Portales, Av. Ej'ercito Libertador 441, Santiago, Chile; Millennium Nucleus on Young Exoplanets and their Moons (YEMS), Chile"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,J. Bouvier,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,P. Delorme,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,H. Beust,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,J. Mazoyer,"LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,O. Flasseur,"Univ. Lyon, Univ. Lyon1, ENS de Lyon, CNRS, Centre de Recherche Astrophysique de Lyon (CRAL) UMR5574, F-69230 Saint-Genis-Laval, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,N. Meunier,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,L. Mignon,"Univ. Grenoble Alpes, CNRS, IPAG, F-38000 Grenoble, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,G. Chauvin,"Université Côte d’Azur, OCA, CNRS, Lagrange, 96 Bd de l'Observatoire, 06300 Nice, France"
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,P. Palma-Bifani,"Université Côte d’Azur, OCA, CNRS, Lagrange, 96 Bd de l'Observatoire, 06300 Nice, France; LIRA, CNRS, Observatoire de Paris, Université PSL, 92190 Meudon, France"

Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,O. M. Smirnov,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Institute for Radioastronomy, National Institute of Astrophysics (INAF IRA), Via Gobetti 101, 40129 Bologna, Italy"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,A. Golden,"Physics, School of Natural Sciences, Ollscoil na Gaillimhe --- University of Galway, University Road, Galway, H91 TK33, Ireland"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,T. Myburgh,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,B. Ngcebetsha,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,C. Tasse,"GEPI & ORN, Observatoire de Paris, Université PSL, CNRS, 5 Place Jules Janssen, 92190 Meudon, France; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,I. Heywood,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, The University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,A. J. T. Ramaila,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,M. A. Thompson,"School of Physics and Astronomy, University of Leeds, Woodhouse Lane, Leeds, LS2 9JT, UK"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,J. S. Kenyon,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,S. J. Perkins,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,J. Dawson,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,H. L. Bester,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,J. S. Bright,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, The University of Oxford, Keble Road, Oxford, OX1 3RH, UK"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,N. Oozeer,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,V. G. G. Samboco,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,I. Sihlangu,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. II. MeerKAT detects a stellar radio flare from a distant RS CVn candidate,C. Choza,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, The University of Oxford, Keble Road, Oxford, OX1 3RH, UK"

Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,O. M. Smirnov,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Institute for Radioastronomy, National Institute of Astrophysics (INAF IRA), Via Gobetti 101, 40129 Bologna, Italy"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,I. Heywood,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,M. Geyer,"High Energy Physics, Cosmology & Astrophysics Theory (HEPCAT) Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch 7701, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,T. Myburgh,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,C. Tasse,"GEPI & ORN, Observatoire de Paris, Université PSL, CNRS, 5 Place Jules Janssen, 92190 Meudon, France; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,J. S. Kenyon,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,S. J. Perkins,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,J. Dawson,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa; South African Radio Astronomy Observatory, Cape Town, 7925, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,H. L. Bester,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,J. S. Bright,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,B. Ngcebetsha,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,N. Oozeer,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,V. G. G. Samboco,"Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,I. Sihlangu,"South African Radio Astronomy Observatory, Cape Town, 7925, South Africa; Centre for Radio Astronomy Techniques and Technologies (RATT), Department of Physics and Electronics, Rhodes University, Makhanda, 6140, South Africa"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,C. Choza,"Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Breakthrough Listen, Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK"
Mining the time axis with TRON. I. Millisecond pulsars in Omega Centauri, Terzan 5 and 47 Tucanae detected through MeerKAT interferometric imaging,A. P. V. Siemion,"Breakthrough Listen, Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; Astrophysics, Department of Physics, University of Oxford, Keble Road, Oxford, OX1 3RH, UK; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; Department of Physics and Astronomy, University of Manchester, UK; University of Malta, Institute of Space Sciences and Astronomy, Msida, MSD2080, Malta"

The Progenitor Systems of Classical Novae in M31,C.S. Abelson,"Department of Physics and Astronomy and Pittsburgh Particle Physics, Astrophysics and Cosmology Center (PITT PACC), University of Pittsburgh, 3941 O'Hara Street, Pittsburgh, PA 15260, USA"
The Progenitor Systems of Classical Novae in M31,Carles Badenes,"Department of Physics and Astronomy and Pittsburgh Particle Physics, Astrophysics and Cosmology Center (PITT PACC), University of Pittsburgh, 3941 O'Hara Street, Pittsburgh, PA 15260, USA"
The Progenitor Systems of Classical Novae in M31,Laura Chomiuk,"Center for Data Intensive and Time Domain Astronomy, Department of Physics and Astronomy, Michigan State University, East Lansing, Michigan 48824, USA"
The Progenitor Systems of Classical Novae in M31,Benjamin F. Williams,"Department of Astronomy, Box 351580, University of Washington, Seattle, WA 98195, USA"
The Progenitor Systems of Classical Novae in M31,Katelyn Breivik,"McWilliams Center for Cosmology, Department of Physics, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213, USA"
The Progenitor Systems of Classical Novae in M31,L. Galbany,"Institute of Space Sciences (ICE-CSIC), Campus UAB, Carrer de Can Magrans, s/n, E-08193 Barcelona, Spain.; Institut d'Estudis Espacials de Catalunya (IEEC), 08860 Castelldefels (Barcelona), Spain"
The Progenitor Systems of Classical Novae in M31,C. Jiménez-Palau,"Institute of Space Sciences (ICE-CSIC), Campus UAB, Carrer de Can Magrans, s/n, E-08193 Barcelona, Spain.; Institut d'Estudis Espacials de Catalunya (IEEC), 08860 Castelldefels (Barcelona), Spain"

11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Noah Vowell,"Department of Physics \& Astronomy, Michigan State University, East Lansing, MI 48824, USA; Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Joseph E. Rodriguez,"Department of Physics \& Astronomy, Michigan State University, East Lansing, MI 48824, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,David W. Latham,"Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Samuel N. Quinn,"Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Jack Schulte,"Department of Physics \& Astronomy, Michigan State University, East Lansing, MI 48824, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Jason D. Eastman,"Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Allyson Bieryla,"Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Khalid Barkaoui,"Astrobiology Research Unit, Universit\'e de Li\`ege, 19C All\'ee du 6 Ao\^ut, 4000 Li\`ege, Belgium; Department of Earth, Atmospheric and Planetary Science, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA; Instituto de Astrof\'isica de Canarias (IAC), Calle V\'ia L\'actea s/n, 38200, La Laguna, Tenerife, Spain"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,David R. Ciardi,"NASA Exoplanet Science Institute-Caltech/IPAC, Pasadena, CA 91125 USA"
11 New Transiting Brown Dwarfs and Very Low Mass Stars from TESS,Karen A. Collins,"Center for Astrophysics | Harvard \& Smithsonian, 60 Garden St, Cambridge, MA 02138, USA"
