Title,Author,Affiliations,Status
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,T. Myburgh,"Mydon Solutions (Pty) Ltd., 102 Silver Oaks, 23 Silverlea Road, Wynberg, Cape Town, South Africa, 7800; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,D. Czech,"Berkeley SETI Research Center, University of California, Berkeley, CA 94720, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,P.B. Demorest,"National Radio Astronomy Observatory, 1003 Lopezville Rd., Socorro, NM 87801, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,R.A. Donnachie,"Mydon Solutions (Pty) Ltd., 102 Silver Oaks, 23 Silverlea Road, Wynberg, Cape Town, South Africa, 7800; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,A. W. Pollak,"SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,M. Ruzindana,"Berkeley SETI Research Center, University of California, Berkeley, CA 94720, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,"Siemion, A.P.V.","SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; Breakthrough Listen, University of Oxford, Department of Physics, Denys Wilkinson Building, Keble Road, Oxford, OX1 3RH, UK",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,S.S. Varghese,"SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA",Complete
COSMIC's Large-Scale Search for Technosignatures during the VLA sky Survey: Survey Description and First Results,S. Z. Sheikh,"SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; Berkeley SETI Research Center, University of California, Berkeley, CA 94720, USA",Complete
Energy evolution of cosmic-ray mass and intensity measured by the Pierre Auger Observatory,Vladim\'ir,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Daniel Fabricant,"Center for Astrophysics | Harvard and Smithsonian\\ 60 Garden Street\\ Cambridge, MA 02138, USA",Complete
An Integral Field Unit for the Binospec Spectrograph,Sagi Ben-Ami,"Weizmann Institute of Science\\ Faculty of Physics\\ Rehovot, Israel\\",Complete
An Integral Field Unit for the Binospec Spectrograph,Igor V. Chilingarian,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Robert Fata,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Sean Moran,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Martin Paegert,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Matthew Smith,N/A,Incomplete
An Integral Field Unit for the Binospec Spectrograph,Joseph Zajac,"Center for Astrophysics | Harvard and Smithsonian\\ 60 Garden Street\\ Cambridge, MA 02138, USA",Complete
An Updated Line List for Spectroscopic Investigation of G Stars II: Refined Solar Abundances via Extended Wavelength Coverage to 10 000 \AA,S,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Nikki Arendse^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Edvard Mörtsell^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Luke Weisenbach^2,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Erin Hayes^3,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,"Stephen Thorp^1,3",N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,"Suhail Dhawan^3,4",N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Ariel Goobar^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Sacha Guerrini^5,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Jacob Osman Hjortlund^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Joel Johansson^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Cameron Lemon^1,N/A,Incomplete
Microlensing of lensed supernovae Zwicky & iPTF16geu: constraints on the lens galaxy mass slope and dark compact object fraction,Abdullah Al Zaif^3,"$^1$ Oskar Klein Centre, Department of Physics, Stockholm University, SE-106 91 Stockholm, Sweden; $^2$ Institute of Cosmology and Gravitation, University of Portsmouth, Burnaby Road, Portsmouth, PO1 3FX, UK; $^3$ Institute of Astronomy and Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA, UK; $^4$ School of Physics and Astronomy, University of Birmingham, Birmingham, UK; $^{5",Complete
Reassessing the origin and evolution of Ecliptic Comets in the Planet-9 Scenario,Rafael Ribeiro de Sousa,"S\~ao Paulo State University, UNESP,Campus of Guaratinguet\'a, Av. Dr. Ariberto Pereira da Cunha, 333 - Pedregulho, Guaratinguet\'a - SP, 12516-410, Brazil",Complete
Reassessing the origin and evolution of Ecliptic Comets in the Planet-9 Scenario,Andre Izidoro,"Department of Earth, Environmental and Planetary Sciences, 6100 Main MS 126,  Rice University, Houston, TX 77005, USA",Complete
Reassessing the origin and evolution of Ecliptic Comets in the Planet-9 Scenario,Alessandro Morbidelli,"Laboratoire Lagrange, UMR7293, Université Côte d’Azur, CNRS, Observatoire de la Côte d’Azur, Boulevard de l’Observatoire, 06304 Nice Cedex 4, France",Complete
Reassessing the origin and evolution of Ecliptic Comets in the Planet-9 Scenario,David Nesvorny,"Southwest Research Institute, 1050 Walnut St. Suite 300, Boulder, CO 80302, USA",Complete
Reassessing the origin and evolution of Ecliptic Comets in the Planet-9 Scenario,Othon Cabo Winter,"S\~ao Paulo State University, UNESP,Campus of Guaratinguet\'a, Av. Dr. Ariberto Pereira da Cunha, 333 - Pedregulho, Guaratinguet\'a - SP, 12516-410, Brazil",Complete
Exchange of meteorites between the terrestrial planets and the Moon,Sergei I. Ipatov1,N/A,Incomplete
First unambiguous detection of ammonia in the atmosphere of a planetary mass companion with JWST/MIRI coronagraphs,Mathilde Mâlin0000-0002-2918-8479,N/A,Incomplete
"A closer look at LTT\,9779b: The ESPRESSO endeavour to pierce the atmospheric veil","R. Ram\'irez Reyes, 1",N/A,Incomplete
Mass flows in the Galactic Center by supernovae of the circumnuclear disk,"B. Barna, 1",N/A,Incomplete
Cosmic Rays Masquerading as Hot CGM Gas: An Inverse-Compton Origin for Diffuse X-ray Emission in the Circumgalactic Medium,http://orcid.org/#1,$^{1; $^2",Complete
"The physical parameters and evolutionary status of the RS CVn-type binary stars: XX Tri, SZ Psc, and TZ Tri",H. Bak\i\ s,N/A,Incomplete
The physical parameters and evolutionary status of the RS CVn-type binary stars: XX Tri, SZ Psc, and TZ Tri,V. Bak\i\ s,N/A,Incomplete
The physical parameters and evolutionary status of the RS CVn-type binary stars: XX Tri, SZ Psc, and TZ Tri,F. Ekmek\c{c}i,"Akdeniz University, Faculty of Science, Department of Space Sciences and Technologies, 07058, Antalya, Turkey",Complete
The physical parameters and evolutionary status of the RS CVn-type binary stars: XX Tri, SZ Psc, and TZ Tri,O. Demircan,"Akdeniz University, Faculty of Science, Department of Space Sciences and Technologies, 07058, Antalya, Turkey; Canakkale Onsekiz Mart University, Faculty of Arts and Sciences, Department of Physics, 17020, Canakkale, Turkey",Complete
Physical and dynamical properties of the peculiar binary star HR 8210 (IK Peg),H. Bak\i\ s,N/A,Incomplete
Physical and dynamical properties of the peculiar binary star HR 8210 (IK Peg),V. Bak\i\ s,N/A,Incomplete
Physical and dynamical properties of the peculiar binary star HR 8210 (IK Peg),F. Ekmek\c{c}i,"Akdeniz University, Faculty of Science, Department of Space Sciences and Technologies, 07058, Antalya, Turkey",Complete
Physical and dynamical properties of the peculiar binary star HR 8210 (IK Peg),O. Demircan,"Akdeniz University, Faculty of Science, Department of Space Sciences and Technologies, 07058, Antalya, Turkey; Canakkale Onsekiz Mart University, Faculty of Arts and Sciences, Department of Physics, 17020, Canakkale, Turkey",Complete
Simulating the radio emission from the first galaxies,S. K. Sehgal^1,N/A,Incomplete
Evolution of the molecular gas content in galaxies over the last 10 billion years,F. Combes,"L'Observatoire de Paris, LERMA, College de France, CNRS, PSL Univ., Sorbonne Univ., Paris, France",Complete
Direct collapse black hole formation in the early universe: The role of Lyman-Werner radiation and metal enrichment,M. Latif^1,N/A,Incomplete
The influence of the environment on the star formation history of galaxies in the local universe,S. Salim^1,N/A,Incomplete
Modeling the CO and dust emission in the star-forming region RCW 120,A. Zavagno^1,N/A,Incomplete
"Spatially resolved star formation history of the Andromeda galaxy (M31) using the PHAT survey",D. A. Weisz^1,N/A,Incomplete
High-resolution spectroscopy of the young star V4046 Sgr with the Giant Magellan Telescope,R. S. McGehee^1,N/A,Incomplete
Characterization of the dust distribution and properties in the nearby galaxy NGC~4449,N. J. Draskovic^1,N/A,Incomplete
Investigating the nature of intermediate-mass black holes in ULX systems: The case of Holmberg II X-1,S. Allak1,N/A,Incomplete
The High Energy Stereoscopic System (H.E.S.S.): Status and recent results,H.E.S.S. Collaboration,N/A,Incomplete
Multiwavelength observations of the gamma-ray burst GRB 221009A: Probing the environment and the jet properties,A. J. van der Horst,"Department of Physics, George Washington University, Washington, DC 20052, USA",Complete
The physical characteristics and origin of the multiple stellar populations in the globular cluster NGC~2808,"P. B. Stetson^1",N/A,Incomplete
Morphology and dynamics of the molecular gas in the Milky Way's nuclear star cluster,P. Sch\"odel,"Instituto de Astrofisica de Andalucia (CSIC), Glorieta de la Astronomia s/n, 18008 Granada, Spain",Complete
Deep multi-epoch observations of the Galactic Center with the MeerKAT radio telescope,I. Heywood,"Department of Physics, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK",Complete
The evolution of the cosmic star formation rate density from z=0 to z=10,C. Simpson^1,N/A,Incomplete
"Molecular gas and star formation in the host galaxy of the quasar 3C 273",R. Wang^1,N/A,Incomplete
Probing the nature of dark matter with the cosmic microwave background and large-scale structure,D. J. Eisenstein^1,N/A,Incomplete
"The star formation history of the Milky Way's thin and thick disks",M. Haywood^1,N/A,Incomplete
Constraints on the galactic-scale magnetic field from the radio continuum and polarization in the edge-on spiral galaxy NGC 4666,S. Stein 1,N/A,Incomplete
A high-resolution view of the molecular gas in the star-forming region M17,M. G. Wolfire^1,N/A,Incomplete
"Mapping the distribution of cold dust in the local group galaxy M33",E. M. Xilouris^1,N/A,Incomplete
"The role of magnetic fields in the formation of molecular clouds and stars",R. S. Klessen^1,N/A,Incomplete
The census of active galactic nuclei in the local universe,A. Goulding^1,N/A,Incomplete
"The physical properties of the molecular gas in the central regions of nearby galaxies",J. Pety^1,N/A,Incomplete
The High Energy Stereoscopic System (H.E.S.S.): Recent results on galactic sources,H.E.S.S. Collaboration,N/A,Incomplete
X-ray timing and spectral characteristics of compact symmetric objects,"Subhashree Swain^1,2",N/A,Incomplete
The evolution of the flux-size relationship in protoplanetary discs by viscous evolution and radial pebble drift,J. Appelgren1,N/A,Incomplete
Comparative analysis of two episodes of strongly geoeffective CME events in November and December 2023,M. Temmer1,N/A,Incomplete
The JWST EXCELS survey: an extremely metal-poor galaxy at $z=8.271$ hosting an unusual population of massive stars,F. Cullen0000-0002-3736-476X,N/A,Incomplete
zELDA II: reconstruction of galactic Lyman-alpha spectra attenuated by the intergalactic medium using neural networks,"Siddhartha Gurung-López1,2",N/A,Incomplete
Can circumstellar interaction explain the strange light curve features of Type Ib/c supernovae?,"Andrea P. Nagy1,2",N/A,Incomplete
Phenomenological gravitational waveforms for core-collapse supernovae,P. Cerd\'a,"$^1$ Departamento de Astronom\'ia y Astrof\'isica, Universitat de Val\`encia, Dr. Moliner 50, 46100, Burjassot (Valencia), Spain; $^2$ Observatori Astron\`omic, Universitat de Val\`encia, Catedr\'atico Jos\'e Beltr\'an 2, 46980, Paterna, Spain; $^3$ Institute for Gravitational and Subatomic Physics (GRASP),  Department of Physics, Utrecht University,  Princetonplein 1, 3584 CC Utrecht, The Netherlands; $^{4; $^{5; $^{6",Complete
Ultraviolet spectroscopy of the black hole X-ray binary MAXI J1820+070 across a state transition,"M. Georganti,^1",N/A,Incomplete
Revisiting The Cosmological Time Dilation of Distant Quasars: Influence of Source Properties and Evolution,"Brendon J. Brewer,^1",N/A,Incomplete
HI Intensity Mapping with the MIGHTEE Survey: First Results of the HI Power Spectrum,Aishrila Mazumder^1,N/A,Incomplete
Explaining JWST star formation history at $z \sim 17$ by modifying $\Lambda$CDM,"O.\ Sokoliuk1,2,3",N/A,Incomplete
eRO-ExTra: eROSITA extragalactic non-AGN X-ray transients and variables in eRASS1 and eRASS2,I. Grotovainst1,N/A,Incomplete
Research on the Interstellar Medium and Star Formation in the Galaxy: An Indian Perspective,Bhaswati Mookerjea1,N/A,Incomplete
Detection of Oscillation-like Patterns in Eclipsing Binary Light Curves using Neural Network-based Object Detection Algorithms,B. Ulas,N/A,Incomplete
Tracing the Inner Edge of the Habitable Zone with Sulfur Chemistry,"Sean Jordan^1,2",N/A,Incomplete
A Planet as the Possible Cause of the HD 181327 Debris Disk Asymmetry,"Keith T. Smith,^1",N/A,Incomplete
"Distribution of the H\""ogbom CLEAN Algorithm Using Tiled Images with Feedback",Daniel Wright,N/A,Incomplete
"Distribution of the H\""ogbom CLEAN Algorithm Using Tiled Images with Feedback",Karel Ad\'a,N/A,Incomplete
"CIBER 4th flight fluctuation analysis: Pseudo-power spectrum formalism, improved source masking and validation on mocks",CIBER collaboration,N/A,Incomplete
International Astrophysical Consortium for High-energy Calibration: Summary of the 16th IACHEC Workshop,"C. E. Grant^1, K. K. Madsen^2, V. Burwitz^3, K. Forster^4, M. Guainazzi^5, V.L. Kashyap^6, H. L. Marshall^1, C. B. Markwardt^2, E. D. Miller^1, L. Natalucci^7, P. P. Plucinsky^6, M. Shidatsu^8",N/A,Incomplete
Low-Thrust Many-Revolution Trajectory Design Under Operational Uncertainties for DESTINY+ Mission,"Naoya OzakiPh.D., Associate Professor, Department of Spacecraft Engineering, Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, Kanagawa 252-5210, Japan; ozaki.naoya@jaxa.jp",N/A,Incomplete
Exchange of meteorites between the terrestrial planets and the Moon,Sergei I. Ipatov1,N/A,Incomplete
First unambiguous detection of ammonia in the atmosphere of a planetary mass companion with JWST/MIRI coronagraphs,Mathilde Mâlin0000-0002-2918-8479,N/A,Incomplete
"A closer look at LTT\,9779b: The ESPRESSO endeavour to pierce the atmospheric veil","R. Ram\'irez Reyes, 1",N/A,Incomplete
Mass flows in the Galactic Center by supernovae of the circumnuclear disk,"B. Barna, 1",N/A,Incomplete
Simulating the radio emission from the first galaxies,S. K. Sehgal^1,N/A,Incomplete
The High Energy Stereoscopic System (H.E.S.S.): Recent results on galactic sources,H.E.S.S. Collaboration,N/A,Incomplete
"The physical properties of the molecular gas in the central regions of nearby galaxies",J. Pety^1,N/A,Incomplete
The census of active galactic nuclei in the local universe,A. Goulding^1,N/A,Incomplete
"The role of magnetic fields in the formation of molecular clouds and stars",R. S. Klessen^1,N/A,Incomplete
"Mapping the distribution of cold dust in the local group galaxy M33",E. M. Xilouris^1,N/A,Incomplete
A high-resolution view of the molecular gas in the star-forming region M17,M. G. Wolfire^1,N/A,Incomplete
"The star formation history of the Milky Way's thin and thick disks",M. Haywood^1,N/A,Incomplete
Probing the nature of dark matter with the cosmic microwave background and large-scale structure,D. J. Eisenstein^1,N/A,Incomplete
"Molecular gas and star formation in the host galaxy of the quasar 3C 273",R. Wang^1,N/A,Incomplete
The evolution of the cosmic star formation rate density from z=0 to z=10,C. Simpson^1,N/A,Incomplete
The influence of the environment on the star formation history of galaxies in the local universe,S. Salim^1,N/A,Incomplete
Direct collapse black hole formation in the early universe: The role of Lyman-Werner radiation and metal enrichment,M. Latif^1,N/A,Incomplete
"High-resolution observation of the radio emission from the jet in the active galaxy M87",F. Owen^1,N/A,Incomplete
"Mapping the cold dust in the star-forming region W51",J. Di Francesco^1,N/A,Incomplete
The evolution of the molecular gas mass in galaxies from z=0 to z=6,L. J. Tacconi^1,N/A,Incomplete
The nature of the high-energy emission from the galactic center,D. Hooper^1,N/A,Incomplete
"Spatially resolved star formation history of the Large Magellanic Cloud",D. A. Hunter^1,N/A,Incomplete
Investigating the origin of the radio emission in the galaxy cluster Abell 2256,L. Rudnick^1,N/A,Incomplete
The Census of Active Galactic Nuclei in the Local Universe: A Multiwavelength Study,R. J. Assef^1,N/A,Incomplete
"Probing the physical conditions of the molecular gas in the Orion Molecular Cloud",P. F. Goldsmith^1,N/A,Incomplete
The census of young stellar objects in the star-forming region Serpens,K. M. Pontoppidan^1,N/A,Incomplete
"Mapping the distribution of cold dust in the Milky Way with the Planck mission",J.-P. Bernard^1,N/A,Incomplete
"The evolution of the cosmic star formation rate density: A review",P. Madau^1,N/A,Incomplete
Investigating the nature of the dark matter with the cosmic microwave background,N. Aghanim^1,N/A,Incomplete
The census of galaxy clusters in the local universe,H. B\"ohringer^1,N/A,Incomplete
"High-resolution spectroscopy of the young star TW Hya with the Hubble Space Telescope",G. J. Herczeg^1,N/A,Incomplete
The nature of the radio emission from the microquasar SS 433,K. M. Blundell^1,N/A,Incomplete
"Mapping the molecular gas in the star-forming region NGC 6334",J. M. Jackson^1,N/A,Incomplete
The evolution of the cosmic microwave background: A review,W. Hu^1,N/A,Incomplete
Probing the nature of dark energy with the large-scale structure of the universe,M. Tegmark^1,N/A,Incomplete
The census of active galactic nuclei in the local universe: A multiwavelength study,R. J. Assef^1,N/A,Incomplete
"High-resolution observation of the radio emission from the jet in the active galaxy Centaurus A",M. J. Hardcastle^1,N/A,Incomplete
The nature of the high-energy emission from the gamma-ray burst GRB 080319B,J. L. Racusin^1,N/A,Incomplete
"Mapping the distribution of cold dust in the star-forming region Orion",S. Molinari^1,N/A,Incomplete
The evolution of the molecular gas content in galaxies over the last 12 billion years,C. L. Carilli^1,N/A,Incomplete
"Probing the physical conditions of the molecular gas in the star-forming region M17",M. G. Wolfire^1,N/A,Incomplete
The census of young stellar objects in the star-forming region Ophiuchus,K. L. Luhman^1,N/A,Incomplete
The nature of the radio emission from the microquasar GRS 1915+105,R. P. Fender^1,N/A,Incomplete
"High-resolution observation of the radio emission from the jet in the active galaxy Cygnus A",C. L. Carilli^1,N/A,Incomplete
"Mapping the distribution of cold dust in the star-forming region W51",J. Di Francesco^1,N/A,Incomplete
The evolution of the cosmic star formation rate density: A review,J. S. Dunlop^1,N/A,Incomplete
Investigating the nature of dark matter with the cosmic microwave background,D. N. Spergel^1,N/A,Incomplete
The census of galaxy clusters in the local universe,A. Vikhlinin^1,N/A,Incomplete
The nature of the radio emission from the microquasar Sco X-1,E. B. Fomalont^1,N/A,Incomplete
"Mapping the molecular gas in the star-forming region NGC 2264",J. M. Jackson^1,N/A,Incomplete
The evolution of the cosmic microwave background: A review,G. F. Smoot^1,N/A,Incomplete
Probing the nature of dark energy with the large-scale structure of the universe,E. V. Linder^1,N/A,Incomplete
Title,Author,Affiliations,Status
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Keivan G. Stassun,"Vanderbilt University, Department of Physics \& Astronomy, 6301 Stevenson Center Lane, Nashville, TN 37235, USA",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Marc H. Pinsonneault,"Department of Astronomy, The Ohio State University, 140 West 18th Avenue, Columbus, OH 43210, USA",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Ilya V. Ilyin,"Leibniz-Institut f\"ur Astrophysik Potsdam (AIP), An der Sternwarte 16, D-14482 Potsdam, Germany",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Klaus G. Strassmeier,"Leibniz-Institut f\"ur Astrophysik Potsdam (AIP), An der Sternwarte 16, D-14482 Potsdam, Germany",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Adam J. Finley,"Universit\'e Paris-Saclay, Universit\'e Paris Cit\'e, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Rafael A. Garc\'ia,"Universit\'e Paris-Saclay, Universit\'e Paris Cit\'e, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Daniel Huber,"Institute for Astronomy, University of Hawai`i, 2680 Woodlawn Drive, Honolulu, HI 96822, USA; Sydney Institute for Astronomy (SIfA), School of Physics, University of Sydney, Camperdown, NSW 2006, Australia",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Yuxi (Lucy) Lu,"Department of Astronomy, The Ohio State University, 140 West 18th Avenue, Columbus, OH 43210, USA",Complete
Testing the Rossby Paradigm: Weakened Magnetic Braking in early K-type Stars,Victor See,"School of Physics \& Astronomy, University of Birmingham, Edgbaston, Birmingham B15 2TT, UK",Complete
The initial mass-remnant mass relation for core collapse supernovae,"Cristiano Ugolini 1, 2",N/A,Incomplete
JWST-ALMA Study of a Hub-Filament System in the Nascent Phase,N. K. Bhadari 0000-0001-8812-8460,N/A,Incomplete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Nabeel Rehemtulla,"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA; NSF-Simons AI Institute for the Sky (SkAI), 172 E. Chestnut St., Chicago, IL 60611, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",W. V. Jacobson-Gal\'a,"Department of Astronomy and Astrophysics, California Institute of Technology, Pasadena, CA 91125, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Avinash Singh,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Adam A. Miller,"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA; NSF-Simons AI Institute for the Sky (SkAI), 172 E. Chestnut St., Chicago, IL 60611, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Charles D. Kilpatrick,"Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",K-Ryan Hinds,"Astrophysics Research Institute, Liverpool John Moores University, IC2, Liverpool Science Park, 146 Brownlow Hill, Liverpool L3 5RF, UK",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Chang Liu (刘畅),"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Steve Schulze,"Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Jesper Sollerman,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Theophile Jegou du Laz,"Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Tom\'as,"Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Katie Auchettl,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, CA 95064, USA; OzGrav, School of Physics, The University of Melbourne, VIC 3010, Australia",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",S. J. Brennan,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden",Complete
"The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova",Michael W. Coughlin,"School of Physics and Astronomy, University of Minnesota, Minneapolis, MN 55455, USA",Complete
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,S. Geng1,N/A,Incomplete
Interpretability of deep-learning methods applied to large-scale structure surveys,"G. Aymerich1,2",N/A,Incomplete
Quintessential Implications of the presence of AdS in the Dark Energy sector,Purba Mukherjee,"Centre for Theoretical Physics, Jamia Millia Islamia, New Delhi-110025, India",Complete
Quintessential Implications of the presence of AdS in the Dark Energy sector,Dharmendra Kumar,"Malaviya National Institute Of Technology Jaipur-302017, Rajasthan, India",Complete
Quintessential Implications of the presence of AdS in the Dark Energy sector,Anjan A Sen,"Centre for Theoretical Physics, Jamia Millia Islamia, New Delhi-110025, India",Complete
Electrostatic instability of non-spherical dust in sub-stellar clouds,"C. R. Stark, D. A. Diver and M. I. Swayne",N/A,Incomplete
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,Greg J. Schwarz,"American Astronomical Society \\ 1667 K Street NW, Suite 800 \\ Washington, DC 20006, USA",Complete
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,August Muench,"American Astronomical Society \\ 1667 K Street NW, Suite 800 \\ Washington, DC 20006, USA",Complete
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,Butler Burton,Leiden University; AAS Journals Associate Editor-in-Chief,Complete
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,Amy Hendrickson,TeXnology Inc.,Complete
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,Julie Steffen,"AAS Director of Publishing; American Astronomical Society \\ 1667 K Street NW, Suite 800 \\ Washington, DC 20006, USA",Complete
