title,abs_journal,status
NEXUS: A Spectroscopic Census of Broad-line AGNs and Little Red Dots at $3\lesssim z\lesssim 6$,arXiv e-prints,success
Across the Universe: Dark Matter and Galaxy Cross-Correlations with the Cherenkov Telescope Array Observatory,Physical Review D,success
Cosmological impact of $ν$DM interactions enhanced in narrow redshift ranges,arXiv e-prints,success
Disentangling the Halo: Joint Model for Measurements of the Kinetic Sunyaev-Zeldovich Effect and Galaxy-Galaxy Lensing,arXiv e-prints,success
A joint analysis of 3D clustering and galaxy \times CMB-lensing cross-correlations with DESI DR1 galaxies,Journal of Cosmology and Astroparticle Physics,success
Continuous helium absorption from the leading and trailing tails of WASP-107b,Nature Astronomy,success
Neutral gas phase distribution from HI morphology: phase separation with scattering spectra and variational autoencoders,The Astrophysical Journal,success
The Properties of Little Red Dot Galaxies in the ASTRID Simulation,arXiv e-prints,success
Suggestions of decreasing dark energy from supernova and BAO data: an update,arXiv e-prints,success
SHELLQs-JWST Unveils the Host Galaxies of Twelve Quasars at $z>6$,The Astrophysical Journal,success
SAPPHIRES: Extremely Metal-Poor Galaxy Candidates with $12+{\rm log(O/H)}<7.0$ at $z\sim5-7$ from Deep JWST/NIRCam Grism Observations,arXiv e-prints,success
The eROSITA Final Equatorial Depth Survey (eFEDS): SDSS spectroscopic observations of X-ray sources,Astronomy and Astrophysics,success
Dynamical Dark Energy Emerges from Massive Gravity,arXiv e-prints,success
Young Planets around Young Accreting Stars: I. Migration and Inner Stalling Orbits,arXiv e-prints,success
High-redshift Millennium and Astrid galaxies in effective field theory at the field level,Physical Review D,success
Teleios (G305.4-2.2) - the mystery of a perfectly shaped new Galactic supernova remnant,Publications of the Astronomical Society of Australia,success
Spectropolarimetric Evolution of SN 2023ixf: an Asymmetric Explosion in a Confined Aspherical Circumstellar Medium,arXiv e-prints,success
nuGAN: Generative Adversarial Emulator for Cosmic Web with Neutrinos,arXiv e-prints,success
Variability of the Faraday Rotation Measure in the Parsec-scale Jet of AGN 1633+382,Monthly Notices of the Royal Astronomical Society,success
Sensitivity of the Global 21-cm Signal to Dark Matter-Baryon Scattering,arXiv e-prints,success
A Quasar Pair Catalog Compiled from DESI DR1,arXiv e-prints,success
Stellar Mass-Size Relation and Morphology of Massive Quiescent Galaxies at $3 < z < 4$ with JWST,arXiv e-prints,success
Variational diffusion transformers for conditional sampling of supernovae spectra,arXiv e-prints,success
The Frequency-dependent Modulation Features of PSR J1948+3540,The Astrophysical Journal,success
Solar Flare Forecast: A Comparative Analysis of Machine Learning Algorithms for Solar Flare Class Prediction,Astronomy,success
Leptohadronic Multimessenger Modeling of Two High-redshift (z $>$ 1) Neutrino Emission Blazar Candidates,The Astrophysical Journal,success
On the polarimetric response of the Nançay Radio Telescope and its impact on precision pulsar timing,Astronomy and Astrophysics,success
Subaru High-z Exploration of Low-Luminosity Quasars (SHELLQs) XXII. Chandra observations of narrow-line quasar candidates at z>6,arXiv e-prints,success
SHELLQs. Bridging the gap: JWST unveils obscured quasars in the most luminous galaxies at z > 6,The Astrophysical Journal,success
Exploring the Formation Mechanisms of Double Neutron Star Systems: An Analytical Perspective,Astrophysics and Space Science,success
Searching for pulsars in Globular Clusters with the Fast Fold Algorithm and a new pulsar discovered in M13,The Astrophysical Journal,success
"Gravitational Lenses in UNIONS and Euclid (GLUE) I: A Search for Strong Gravitational Lenses in UNIONS with Subaru, CFHT, and Pan-STARRS Data",arXiv e-prints,success
The soft X-ray transient EP241021a: a cosmic explosion with a complex off-axis jet and cocoon from a massive progenitor,Astronomy and Astrophysics,success
Late-blooming magnetars: awakening as ultra-long period objects after a dormant cooling epoch,arXiv e-prints,success
Starobinsky like inflation and EGB Gravity in the light of ACT,Journal of Cosmology and Astroparticle Physics,success
First Light and Reionization Epoch Simulations (FLARES) -- XVIII: the ionising emissivities and hydrogen recombination line properties of early AGN,arXiv e-prints,success
The Emergence of Little Red Dots from Binary Massive Black Holes,arXiv e-prints,success
Mapping Cassiopeia A's silicon/sulfur Doppler velocities with XRISM-Resolve,Publications of the Astronomical Society of Japan,success
Slow and steady: long-term evolution of the 76-second pulsar J0901$-$4046,Monthly Notices of the Royal Astronomical Society,success
Double Hot Jupiters Through ZLK Migration,The Astrophysical Journal,success
J-PAS and PFS surveys in the era of dark energy and neutrino mass measurements,arXiv e-prints,success
High polarization lines of the second solar spectrum of the Solar limb,arXiv e-prints,success
Euclid preparation. The impact of redshift interlopers on the two-point correlation function analysis,arXiv e-prints,success
Machine Learning Workflow for Morphological Classification of Galaxies,arXiv e-prints,success
Extracting local velocity from cosmic dipole using simulations,arXiv e-prints,success
Uranus Flagship Science-Driven Tour Design: Community Input Poll,arXiv e-prints,success
The CRESST experiment: towards the next-generation of sub-GeV direct dark matter detection,arXiv e-prints,success
Reheating ACTs on Starobinsky and Higgs inflation,Physical Review D,success
Pulsar Timing Arrays,arXiv e-prints,success
Redshift-space bispectrum in presence of massive neutrinos: A multipole expansion approach for Euclid,Monthly Notices of the Royal Astronomical Society,success
ACT DR6 Insights on the Inflationary Attractor models and Reheating,arXiv e-prints,success
Comparative Biosignatures,arXiv e-prints,success
eROSITA view on the Halo Mass-Temperature relation. From low mass groups to massive clusters,Astronomy and Astrophysics,success
Gravitational Wave Memory of Primordial Black Hole Mergers,Physical Review D,success
An extremely metal-poor Lyman-$α$ emitter candidate at $z=6$ revealed through absorption spectroscopy,The Astrophysical Journal,success
JFlow: Model-Independent Spherical Jeans Analysis using Equivariant Continuous Normalizing Flows,arXiv e-prints,success
Bayesian Inference of Core Properties of Hybrid Stars from Future High-Precision Measurements of Their Radii,arXiv e-prints,success
Reconstructing the Free-floating Planet Mass Function with the Nancy Grace Roman Space Telescope,arXiv e-prints,success
Quantifying the Fermi paradox via passive SETI: a general framework,arXiv e-prints,success
Power Laws Associated with Self-Organized Criticality: A Comparison of Empirical Data with Model Predictions,arXiv e-prints,success
Spectral-timing analysis of the kilohertz quasi-periodic oscillations and constraints on the mass of the neutron star in $4U 1636-536$ using AstroSat observations,Monthly Notices of the Royal Astronomical Society,success
Magnetized Accretion onto Neutron Stars: from Photon-trapped to Neutrino-cooled Flows,The Astrophysical Journal,success
Denoising weak lensing mass maps with diffusion model: systematic comparison with generative adversarial network,arXiv e-prints,success
Interactions of the scalaron dark matter in $f (R)$ gravity,Journal of Cosmology and Astroparticle Physics,success
Modeling Metric Gyrosynchrotron Radio Emission From the Quiet Solar Corona,arXiv e-prints,success
SHAPE: cosmology with cluster halo intrinsic alignments from subhalo distributions,arXiv e-prints,success
X-ray Emission Signatures of Neutron Star Mergers,arXiv e-prints,success
Impact of anisotropic photon emission from sources during the epoch of reionisation,arXiv e-prints,success
Baryon Acoustic Oscillations from a Different Angle,Monthly Notices of the Royal Astronomical Society,success
"Abundant Population of Broad H$α$ Emitters in the GOODS-N Field Revealed by CONGRESS, FRESCO, and JADES",arXiv e-prints,success
Photometry and Spectroscopy of SN 2024pxl: A Luminosity Link Among Type Iax Supernovae,arXiv e-prints,success
Redshift Assessment Infrastructure Layers (RAIL): Rubin-era photometric redshift stress-testing and at-scale production,arXiv e-prints,success
Vlasov Perturbation Theory applied to $Λ$CDM,Physical Review D,success
A robust neural determination of the source-count distribution of the Fermi-LAT sky at high latitudes,Physical Review D,success
Thermonuclear Heating of Accreting Neutron Stars,The Astrophysical Journal,success
Mass-dependent chemical enrichment sequences of SDSS star-forming galaxies out to z~0.3 revealed by direct O & Ar abundances,arXiv e-prints,success
RVSNUpy: A Python Package for Spectroscopic Redshift Measurement Based on Cross-Correlation,The Astronomical Journal,success
Non-thermal Radio Emission from Massive Protostars in the SARAO MeerKAT Galactic Plane Survey,Monthly Notices of the Royal Astronomical Society,success
Using Active Learning to Improve Quasar Identification for the DESI Spectra Processing Pipeline,Journal of Cosmology and Astroparticle Physics,success
"The Boost Operator: Properties, Computation and Applications",arXiv e-prints,success
Linear analysis of shear-flow instabilities in a prominence-corona interface with ambipolar diffusion,Solar Physics,success
Reconciling Higgs Inflation with ACT Observations through Reheating,arXiv e-prints,success
Stochastic analysis of finite-temperature effects on cosmological parameters by artificial neural networks,arXiv e-prints,success
On the tension between DESI DR2 BAO and CMB,arXiv e-prints,success
"Super-Eddington accretion in high-redshift quasar hosts: black-hole driven outflows, galaxy quenching, and the nature of Little Red Dots",Astronomy and Astrophysics,success
Efficient Modelling of Lyman-α opacity fluctuations during late EoR,arXiv e-prints,success
The Dual Primordial Black Hole Formation Scenario,arXiv e-prints,success
An Analytical Model of Wavelength-dependent Opposition Surge in Emittance and Re ectance Spectroscopy of Airless Rocky Exoplanets,The Planetary Science Journal,success
"JWST & ALMA Joint Analysis with [OII]$λλ$3726,3729, [OIII]$λ$4363, [OIII]88$μ$m, and [OIII]52$μ$m: Multi-Zone Evolution of Electron Densities at $\mathbf{z\sim0-14}$ and Its Impact on Metallicity Measurements",The Astrophysical Journal,success
When Dark Matter Heats Up: A Model-Independent Search for Non-Cold Behavior,arXiv e-prints,success
SCUBADive II: Searching for $z>4$ Dust-Obscured Galaxies via F150W-Dropouts in COSMOS-Web,arXiv e-prints,success
The curvaton ACTs again,arXiv e-prints,success
Homogeneous measurements of proximity zone sizes for 59 quasars in the Epoch of Reionization,arXiv e-prints,success
Chandra Rules Out Super-Eddington Accretion For Little Red Dots,The Astrophysical Journal,success
A weak Ly$α$ halo for an extremely bright Little Red Dot. Indications of enshrouded SMBH growth,arXiv e-prints,success
The construction and use of dephasing prescriptions for environmental effects in gravitational wave astronomy,Classical and Quantum Gravity,success
A 70 pc-Diameter Nova Super-remnant Surrounding the Recurrent Nova RS Ophiuchi,The Astronomical Journal,success
The Blinking Crystallinity of Europa: A Competition between Irradiation and Thermal Alteration,Icarus,success
Properties of Giant Radio Galaxies larger than 3 Mpc,Astronomy and Astrophysics,success
The high-energy protons of the ground level enhancement (GLE74) event on 11 May 2024,Solar Physics,success
Late-time suppression of structure growth as a solution for the $S_8$ tension,Physical Review D,success
"Galaxies in the Epoch of Reionization Are All Bark and No Bite -- Plenty of Ionizing Photons, Low Escape Fractions",arXiv e-prints,success
Marvelous Metals: Surveying the Circumgalactic Medium of Simulated Dwarf Galaxies,The Astrophysical Journal,success
A fundamental limit to how close binary systems can get via stable mass transfer shapes the properties of binary black hole mergers,arXiv e-prints,success
"Long timescale numerical simulations of large, super-critical accretion discs",Monthly Notices of the Royal Astronomical Society,success
Black hole spectral states revealed in GRMHD simulations with texture memory accelerated cooling,arXiv e-prints,success
A Possible Problem with the Sunspot Number,arXiv e-prints,success
Radio observations point to a moderately relativistic outflow in the fast X-ray transient EP241021a,The Astrophysical Journal,success
Evidence of polar and ultralow supernova kicks from the orbits of Be X-ray binaries,arXiv e-prints,success
Uncertainty of magnetic field in 3D NLTE inversions,Astronomy and Astrophysics,success
Limits on the 21 cm power spectrum at z=6.5-7.0 from MWA observations,The Astrophysical Journal,success
Exoplanet atmospheres at high spectral resolution,Annual Review of Astronomy and Astrophysics,success
S241125n: Binary Black Hole Merger Produces Short GRB in AGN Disk,arXiv e-prints,success
Operational and Exploration Requirements and Research Capabilities for SEP Environment Monitoring and Forecasting,arXiv e-prints,success
"PolarCat: Catalog of polars, low-accretion rate polars, and candidate objects",Astronomy and Astrophysics,success
Possibility of Multi-Messenger Observations of Quasi-Periodic Eruptions with X-rays and Gravitational Waves,arXiv e-prints,success
AGN star dynamics under the Influence of Outflow-Ambient Interactions,The Astrophysical Journal,success
The Multiple Paths to Merger of Unequal-Mass Black Hole Binaries in the Disks of Active Galactic Nuclei,The Astrophysical Journal,success
Measuring Emission Lines with JWST-MegaScience Medium-Bands: A New Window into Dust and Star Formation at Cosmic Noon,The Astrophysical Journal,success
"The DESI Y1 RR Lyrae catalog II: The metallicity dependency of pulsational properties, the shape of the RR Lyrae instability strip, and metal rich RR Lyrae",arXiv e-prints,success
Mass Transfer in Tidally Heated Stars Orbiting Massive Black Holes and Implications for Repeating Nuclear Transients,arXiv e-prints,success
Roman Observations Time Allocation Committee: Final Report and Recommendations,arXiv e-prints,success
A Systematic Search for Trace Molecules in Exoplanet K2-18 b,arXiv e-prints,success
ACT-ing on inflation: Implications of non Bunch-Davies initial condition and reheating on single-field slow roll models,Physics Letters B,success
LITMUS: Bayesian Lag Recovery in Reverberation Mapping with Fast Differentiable Models,arXiv e-prints,success
"Strontium I, III, IV and V: Electron Impact Excitation Data for Kilonovae and White Dwarf Diagnostic Applications",Monthly Notices of the Royal Astronomical Society,success
$f$-mode oscillations of protoneutron stars,Physical Review D,success
Resolving Individual Signal in the Presence of Stochastic Background in Future Pulsar Timing Arrays,Monthly Notices of the Royal Astronomical Society,success
Potential Reconstruction from ACT Observations Leading to Polynomial $α$-Attractor,Physics Letters B,success
Using Machine Learning to Estimate NUV Magnitudes and Probe Quenching Mechanisms of $z$=0 Nuggets in the RESOLVE and ECO Surveys,The Astrophysical Journal,success
Star formation efficiency and scaling relations in parsec-scale cluster-forming clumps,Monthly Notices of the Royal Astronomical Society,success
MAD-Accretion Scenario in High-Mass X-Ray Binaries with Neutron Stars,Astrophysical Bulletin,success
"Cislunar Mean-Motion Resonances: Definitions, Widths, and Comparisons with Resonant Satellites",arXiv e-prints,success
Non-transiting exoplanets as a means to understand star-planet interactions in close-in systems,Astronomy and Astrophysics,success
Deciphering the Milky Way's Star Formation at Cosmic Noon with High Proper-Motion Stars: A Precursor to the Merger-Driven Starburst,Astronomy and Astrophysics,success
Be star demographics: a comprehensive study of thousands of lightcurves in the Magellanic Clouds,The Astrophysical Journal,success
Submillimeter observations of the white dwarf pulsar AR Sco,The Astrophysical Journal,success
Satellite Streak Brightness Variation with Orbit Height,arXiv e-prints,success
Gravity-selected cluster samples: a new take on the Compton Y-mass relation,The Astrophysical Journal,success
When relics were made: vigorous stellar rotation and low dark matter content in the massive ultra-compact galaxy GS-9209 at z=4.66,arXiv e-prints,success
Surprising Variation of Gamma Rays from the Sun over the Solar Cycle Revealed with Fermi-LAT,The Astrophysical Journal,success
Systematic Investigation into Radio Supernovae with Markov Chain Monte Carlo Analysis: Implications for Massive Stars' Mass Loss and Shock Acceleration Physics,arXiv e-prints,success
Estimating the Lensing Probability for Binary Black Hole Mergers in AGN disk by Using Mismatch Threshold,arXiv e-prints,success
Symmetry in Fundamental Parameters of Galaxies on the Star-forming Main Sequence,arXiv e-prints,success
Disruptions of stars and binary systems on chaotic orbits in the axisymmetric Milky Way center,Monthly Notices of the Royal Astronomical Society,success
Mastering 3D-detection of Extensive Air Showers in Cherenkov Light,arXiv e-prints,success
Testing the Hypothesis that the Quasar J0950+5128 Harbors a Supermassive Black Hole Binary,arXiv e-prints,success
"The ""Dark-Matter Dominated"" Galaxy Segue 1 Modeled with a Black Hole and no Dark Halo",arXiv e-prints,success
The {\it AGORA} High-resolution Galaxy Simulations Comparison Project. VIII: Disk Formation and Evolution of Simulated Milky Way Mass Galaxy Progenitors at $1<z<5$,The Astrophysical Journal,success
Peekaboo: Secular Resonances from Evolving Stellar Oblateness Impede Transit Detection,The Astrophysical Journal,success
Brightness Characteristics of the Qianfan Satellites and Evidence That Some Are Tumbling,arXiv e-prints,success
EMU: Cross-correlating EMU Pilot Survey 1 with Dark Energy Survey to constrain the radio galaxy redshift distribution,arXiv e-prints,success
GECAM Discovery of Peculiar Oscillating Particle Precipitation Events,"Science China Physics, Mechanics, and Astronomy",success
Revealing the nature of ultra-long period objects with space-based gravitational-wave interferometers,The Astrophysical Journal,success
Spectroscopic Supermassive Dark Star candidates,Proceedings of the National Academy of Science,success
Initial Observations of the First BlueBird Spacecraft and a Model of Their Brightness,arXiv e-prints,success
Periodic variation of magnetoionic environment of a fast radio burst source,arXiv e-prints,success
Optical QPOs with dual periodicities 1103days and 243days in the blue quasar SDSS J100438.8+151056,Astronomy and Astrophysics,success
Green Flash: Residual Emissions Enshrouded in Low-mass Balmer-break Galaxies at $z\sim5$,arXiv e-prints,success
Ground-based Observations of Temporal Variation of Cosmic Ray Spectrum during Forbush Decreases,The Astrophysical Journal,success
Propagation and transmission of Jupiter's internal waves,The Astrophysical Journal,success
Quintessence Dark Matter,arXiv e-prints,success
"Asteroseismically Inferred Ages of 132,000 Red Giants with TESS",arXiv e-prints,success
DESI DR1 Ly$α$ 1D power spectrum: The optimal estimator measurement,Journal of Cosmology and Astroparticle Physics,success
NuSTAR Detection of an Absorption Feature in ESP 39607: Evidence for an Ultra-fast Inflow?,The Astrophysical Journal,success
Impact of ACT DR6 and DESI DR2 for Early Dark Energy and the Hubble tension,arXiv e-prints,success
Impact of stellar winds on the pair-instability supernova rate,Astronomy and Astrophysics,success
Estimating the spins of supermassive black holes in distant ultraluminous quasars,International Journal of Modern Physics D,success
Modelling the multi-wavelength emission and polarisation signatures of the novel white-dwarf pulsar system AR Sco,arXiv e-prints,success
"Dynamics of recaptures, ejections and mergers of stellar mass binaries over multiple encounters with SgrA*",Monthly Notices of the Royal Astronomical Society,success
Tracing the evolution of eccentric precessing binary black holes: a hybrid approach,arXiv e-prints,success
Solar Orbiter's 2024 Major Flare Campaigns: An Overview,Solar Physics,success
Cosmic Ray Superdiffusion and Mirror Diffusion in Partially Ionized and Turbulent Medium,The Astrophysical Journal,success
An Actinide-boost Star Discovered in the Gaia-Sausage-Enceladus,The Astrophysical Journal,success
Close-knit relatives: reproducing galactic rotation curves with a two-component bosonic dark matter model,Physical Review D,success
Synthetic Clones of the Most Distant Galaxies in the Universe,Astronomy and Astrophysics,success
NOEMA$^{\rm 3D}$: A first kpc resolution study of a $z\sim1.5$ main sequence barred galaxy channeling gas into a growing bulge,arXiv e-prints,success
Cosmic Distance Duality Relation with DESI DR2 and Transparency,arXiv e-prints,success
"Holographic dark energy models in $f(Q,T)$ gravity and cosmic constraint",arXiv e-prints,success
Dark Bondi Accretion Aided by Baryons and the Origin of JWST Little Red Dots,arXiv e-prints,success
Counter-Streaming Velocities in a Quiescent Filament,Solar Physics,success
The largest Forbush decrease in 20 years: Preliminary analysis of SEVAN network observations,arXiv e-prints,success
Radiatively Corrected Starobinsky Inflation and Primordial Gravitational Waves in Light of ACT Observations,Physical Review D,success
On accretion in the polar V379 Vir,Astronomy Letters,success
"Co-evolution of cosmic ray energy spectra, composition, and anisotropies",arXiv e-prints,success
Infrared observations reveal the reprocessing envelope in the tidal disruption event AT 2019azh,arXiv e-prints,success
Inferring Neutron Star Nuclear Properties from Gravitational-Wave and Gamma-Ray Burst Observations,arXiv e-prints,success
Cosmic Sign-Reversal: Non-Parametric Reconstruction of Interacting Dark Energy with DESI DR2,Journal of Cosmology and Astroparticle Physics,success
NIKA2 Cosmological Legacy Survey: Blind detection of galaxy clusters in the COSMOS field via the Sunyaev-Zel'dovich effect,Astronomy and Astrophysics,success
Unveiling the Pitfalls of CPL Parametrization at High Redshifts: A Critical Assessment of the $ω_{0}$$ω_a$CDM Model with DESI DR2 BAO Data,arXiv e-prints,success
Self-Interacting Dark-Matter Spikes and the Final-Parsec Problem: Bayesian constraints from the NANOGrav 15-Year Gravitational-Wave Background,arXiv e-prints,success
Binary Neutron Star Mergers as Potential Sources for Ultra-High-Energy Cosmic Rays and High-Energy Neutrinos,Physical Review D,success
Bias hardened estimators of patchy screening profiles,Physical Review D,success
Real-time Broadband RFI Excision for the Upgraded GMRT,arXiv e-prints,success
Frequently Used References For Atomic Data In X-ray Spectroscopy,arXiv e-prints,success
Exploring MAXI J1744-294: IXPE insights into a Newly Discovered X-ray Transient,arXiv e-prints,success
Infalling Ultra Faint Dwarfs as Emissaries of the Axiverse?,Astronomy and Astrophysics,success
"Electromagnetic radiation by turbulent, magnetized and randomly inhomogeneous solar radio sources generated by electron beams",Nature Astronomy,success
Identifying Anomalous DESI Galaxy Spectra with a Variational Autoencoder,arXiv e-prints,success
Signatures of BH seeding on the $\mathrm{M_{\displaystyle \bullet}}-σ$ relation: Predictions from the BRAHMA simulations,The Astrophysical Journal,success
Consistent Initial Conditions for Early Modified Gravity in Effective Field Theory,Physical Review D,success
Metal-polluted PopIII galaxies and How to Find Them,The Astrophysical Journal,success
The JWST/AURORA Survey: Multiple Balmer and Paschen Emission Lines for Individual Star-forming Galaxies at z=1.5-4.4. I. A Diversity of Nebular Attenuation Curves and Evidence for Non-Unity Dust Covering Fractions,arXiv e-prints,success
Characterizing Density and Gravitational Potential Fluctuations of the Interstellar Medium,arXiv e-prints,success
Mapping the gas density with the kinematic Sunyaev-Zel'dovich and patchy screening effects: a self-consistent comparison,Physical Review D,success
SIP-IFVM: An observation-based magnetohydrodynamic model of coronal mass ejection,The Astrophysical Journal Supplement Series,success
Bar properties as a function of wavelength in Illustris TNG50: analysis of mock images,Monthly Notices of the Royal Astronomical Society,success
Searching for radio pulsars in old open clusters from the Parkes archive,The Astrophysical Journal,success
Lunar Time Ephemeris LTE440: User Manual,arXiv e-prints,success
A Fast Bayesian Method for Coherent Gravitational Wave Searches with Relative Astrometry,Physical Review D,success
What drives the growth of black holes: a decade of progress,New Astronomy Reviews,success
Tracing Cosmic Voids with fast simulations,Astronomy and Astrophysics,success
"Extreme Learning Machines for Exoplanet Simulations: A Faster, Lightweight Alternative to Deep Learning",RAS Techniques and Instruments,success
HD 143006: Interferometric Confirmation of Misaligned Protoplanetary Disc with CHARA/MIRCX and VLTI/PIONIER,Monthly Notices of the Royal Astronomical Society,success
Characterizing the Observational Properties of the Sun's High-latitude m=1 Inertial Mode,The Astrophysical Journal,success
Discovery of a 0.8-mHz quasi-periodic oscillations in the transient X-ray pulsar SXP31.0 and associated timing transitions,arXiv e-prints,success
Black Holes in the Red-sequence Elliptical Galaxies at Redshifts $\sim 0.7-2.5$: Not Dark Energy Source but Remanants of Little Red Dots,arXiv e-prints,success
Euclid: Quick Data Release (Q1) -- Watching ICM-selected galaxy clusters with Euclid eyes -- prospects of Euclid data in the context of large SZ and X-ray based surveys,arXiv e-prints,success
A deep X-ray/UV look into the reflaring stage of the accreting millisecond pulsar SAX J1808.4-3658,arXiv e-prints,success
Understanding the Drag Torque in Common Envelope Evolution,arXiv e-prints,success
Constraining exotic high-$z$ reionization histories with Gaussian processes and the cosmic microwave background,arXiv e-prints,success
Towards Modelling AR Sco: Calibration -- Reproducing High-Energy Pulsar Emission and Testing Convergence to Aristotelian Electrodynamics,Monthly Notices of the Royal Astronomical Society,success
Comparative analysis of machine learning techniques for feature selection and classification of Fast Radio Bursts,Journal of High Energy Astrophysics,success
Validate the bright Gaia celestial reference frame with new VLBI astrometry of radio stars,Astronomy and Astrophysics,success
Metallicities from High-Resolution TRES Spectra with The Payne and uberMS: Performance Benchmarks and Literature Comparison,The Astrophysical Journal Supplement Series,success
Dark Energy Crosses the Line: Quantifying and Testing the Evidence for Phantom Crossing,arXiv e-prints,success
The Evolution of Jupiter and Saturn as a function of the Semi-convective Parameter R$_ρ$,The Astrophysical Journal,success
Reconstructing Quasar Spectra and Measuring the Ly$α$ Forest with ${\rm S{\scriptsize pender}Q}$,arXiv e-prints,success
Euclid: An emulator for baryonic effects on the matter bispectrum,arXiv e-prints,success
Expansion Signatures in 35 HII Regions traced by SOFIA [CII] Emission,The Astrophysical Journal,success
Measurement of the photosphere oblateness of $γ$ Cassiopeiae via Stellar Intensity Interferometry with the VERITAS Observatory,The Astrophysical Journal,success
Gamma rays as a signature of r-process producing supernovae: remnants and future Galactic explosions,The Astrophysical Journal,success
Self-Interacting Dark Matter with Mass Segregation: A Unified Explanation of Dwarf Cores and Small-Scale Lenses,arXiv e-prints,success
Overmassive Black holes live in compact galaxies in the early Universe,arXiv e-prints,success
A NICER view of the 1.4 solar-mass edge-on pulsar PSR J0614--3329,The Astrophysical Journal,success
GalaxyGenius: A Mock Galaxy Image Generator for Various Telescopes from Hydrodynamical Simulations,Astronomy and Astrophysics,success
Dissecting the nanoHz gravitational wave sky: frequency-correlated anisotropy induced by eccentric supermassive black hole binaries,arXiv e-prints,success
"Study of a giant Large Magellanic Cloud Supernova Remnant, Veliki (J0450.4-7050)",Serbian Astronomical Journal,success
What new physics can we extract from inflation using the ACT DR6 and DESI DR2 Observations?,arXiv e-prints,success
Unveiling the small-scale web around galaxies with miniJPAS and DESI: the role of local connectivity in star formation,arXiv e-prints,success
Overdense fireworks in GOODS-N: Unveiling a record number of massive dusty star forming galaxies at z$\sim$5.2 with the N2CLS,arXiv e-prints,success
Energy Spectrum and Mass Composition of Ultra-High-Energy Cosmic Rays Originating from Relativistic Jets of Nearby Radio Galaxies,The Astrophysical Journal,success
Could We Be Fooled about Phantom Crossing?,arXiv e-prints,success
Cold gas in a post-starburst pair at z ~ 1.4: major mergers as a pathway to quenching in the HeavyMetal survey,arXiv e-prints,success
The 2MIG isolated AGNs -- 2. X-ray general properties and peculiarities,arXiv e-prints,success
Non-Gaussian statistics in galaxy weak lensing: compressed three-point correlations and cosmological forecasts,Journal of Cosmology and Astroparticle Physics,success
DESI results and Dark Energy from QCD topological sectors,arXiv e-prints,success
Precise Hubble constant measurement from quasi-periodic eruptions as electromagnetic counterparts to extreme mass ratio inspirals,arXiv e-prints,success
Spectral Properties of Irradiated Circumbinary Disks around Binary Black Holes Governed by Hydrogen Opacities Dependent on Temperature and Density,arXiv e-prints,success
Gas motion in the ICM of the Virgo cluster replica,arXiv e-prints,success
Technosignature Searches with Real-time Alert Brokers,The Astronomical Journal,success
Modeling of Ionization and Recombination Processes in Plasma with Arbitrary Non-Maxwellian Electron Distributions,The Astrophysical Journal,success
Chemical Signatures of Population III Stars in Damped Lyman-$α$ Absorption Systems at $z \approx 6$,arXiv e-prints,success
Procedures for Constraining Robotic Fiber Positioning for Highly Multiplexed Spectroscopic Surveys: The Case of FPS for SDSS-V,The Astronomical Journal,success
Taking a Break at Cosmic Noon: Continuum-selected Low-mass Galaxies Require Long Burst Cycles,arXiv e-prints,success
Going beyond $S_8$: fast inference of the matter power spectrum from weak-lensing surveys,arXiv e-prints,success
Possibilities for SETI at High Energy,arXiv e-prints,success
Category-based Galaxy Image Generation via Diffusion Models,arXiv e-prints,success
Solar Transient Recognition Using Deep Learning (STRUDL) for heliospheric imager data,Space Weather,success
Constraining the Extragalactic Magnetic Field: Auger Data Meet UHECR Propagation Modeling,Monthly Notices of the Royal Astronomical Society,success
Primordial magnetic fields and modified recombination histories,arXiv e-prints,success
High-Speed Boulders and the Debris Field in DART Ejecta,The Planetary Science Journal,success
Coevolution of Intracluster Light and Brightest Cluster Galaxies,arXiv e-prints,success
Shockingly Effective: Cluster Winds as Engines of Feedback in Starburst Galaxy VV 114,The Astrophysical Journal,success
Analytical weak-lensing shear response of galaxy model fitting,arXiv e-prints,success
Project AMIGA: The Inner Circumgalactic Medium of Andromeda from Thick Disk to Halo,arXiv e-prints,success
Black holes as telescopes: Discovering supermassive binaries through quasi-periodic lensed starlight,arXiv e-prints,success
Comprehensively Constraining Ultra-Light Primordial Black Holes Through Relic Formation and Early Mergers,Journal of Cosmology and Astroparticle Physics,success
Synthesizer: Synthetic Observables For Modern Astronomy,arXiv e-prints,success
Novel $z\sim~10$ auroral line measurements extend the gradual offset of the FMR deep into the first Gyr of cosmic time,arXiv e-prints,success
"The Infinity Galaxy: a Candidate Direct-Collapse Supermassive Black Hole Between Two Massive, Ringed Nuclei",The Astrophysical Journal,success
"Measurements of the z=4-10 X-ray Luminosity Function: the high space density of moderate-luminosity, obscured AGN",arXiv e-prints,success
BLADE: An Automated Framework for Classifying Light Curves from the Center for Near-Earth Object Studies (CNEOS) Fireball Database,The Astronomical Journal,success
Identifying Ring Galaxies in DESI Legacy Imaging Surveys Using Machine Learning Methods,The Astrophysical Journal Supplement Series,success
A Dichotomy of the Mass-Metallicity Relation of Exoplanetary Atmospheres Demarcated by their Birthplace,arXiv e-prints,success
Impeding Turbulence Decay in Self-gravitating Cloud Cores,The Astrophysical Journal,success
